BIM,target,variable,lag,correlation
BIM-05,OD,pH_Norm,-5,-0.5728579719209941
BIM-05,OD,pH_Norm,-4,-0.538398043271066
BIM-05,OD,pH_Norm,-3,-0.46668957207116074
BIM-05,OD,pH_Norm,-2,-0.41137682637644213
BIM-05,OD,pH_Norm,-1,-0.3471465319211558
BIM-05,OD,pH_Norm,0,-0.21191878804184125
BIM-05,OD,pH_Norm,1,-0.10003574604057905
BIM-05,OD,pH_Norm,2,-0.11899281436435533
BIM-05,OD,pH_Norm,3,0.07034094482711596
BIM-05,OD,pH_Norm,4,0.22694368861116235
BIM-05,OD,pH_Norm,5,0.3891142628029412
BIM-05,OD,Temperatura (°C),-5,-0.5192984244542591
BIM-05,OD,Temperatura (°C),-4,-0.38056330541202027
BIM-05,OD,Temperatura (°C),-3,-0.3727196151372374
BIM-05,OD,Temperatura (°C),-2,-0.39324415243380323
BIM-05,OD,Temperatura (°C),-1,-0.3335860297793517
BIM-05,OD,Temperatura (°C),0,-0.1882249343060774
BIM-05,OD,Temperatura (°C),1,-0.1363215076585507
BIM-05,OD,Temperatura (°C),2,-0.16215850661838455
BIM-05,OD,Temperatura (°C),3,0.10199903527306015
BIM-05,OD,Temperatura (°C),4,0.21797177846704788
BIM-05,OD,Temperatura (°C),5,0.3686561004740774
BIM-05,OD,Temp_Norm,-5,-0.5728579719209941
BIM-05,OD,Temp_Norm,-4,-0.5383980432710661
BIM-05,OD,Temp_Norm,-3,-0.4666895720711607
BIM-05,OD,Temp_Norm,-2,-0.41137682637644196
BIM-05,OD,Temp_Norm,-1,-0.34714653192115585
BIM-05,OD,Temp_Norm,0,-0.2119187880418412
BIM-05,OD,Temp_Norm,1,-0.10003574604057903
BIM-05,OD,Temp_Norm,2,-0.11899281436435535
BIM-05,OD,Temp_Norm,3,0.07034094482711596
BIM-05,OD,Temp_Norm,4,0.22694368861116226
BIM-05,OD,Temp_Norm,5,0.3891142628029412
BIM-05,OD,EC,-5,0.647307655785982
BIM-05,OD,EC,-4,0.3699378682453936
BIM-05,OD,EC,-3,0.3801796557873394
BIM-05,OD,EC,-2,0.2943742463154681
BIM-05,OD,EC,-1,0.2039653141930006
BIM-05,OD,EC,0,0.12890013423466715
BIM-05,OD,EC,1,0.19062626981079359
BIM-05,OD,EC,2,0.04481528331093192
BIM-05,OD,EC,3,-0.12989544283516205
BIM-05,OD,EC,4,-0.2031594452323904
BIM-05,OD,EC,5,-0.299216582849609
BIM-05,OD,EC_Norm,-5,0.647307655785982
BIM-05,OD,EC_Norm,-4,0.3699378682453936
BIM-05,OD,EC_Norm,-3,0.3801796557873395
BIM-05,OD,EC_Norm,-2,0.2943742463154681
BIM-05,OD,EC_Norm,-1,0.20396531419300057
BIM-05,OD,EC_Norm,0,0.12890013423466715
BIM-05,OD,EC_Norm,1,0.19062626981079353
BIM-05,OD,EC_Norm,2,0.04481528331093193
BIM-05,OD,EC_Norm,3,-0.12989544283516208
BIM-05,OD,EC_Norm,4,-0.20315944523239032
BIM-05,OD,EC_Norm,5,-0.299216582849609
BIM-05,OD,OD_Norm,-5,-0.2255052011599548
BIM-05,OD,OD_Norm,-4,-0.09707108949709878
BIM-05,OD,OD_Norm,-3,0.03393190957024759
BIM-05,OD,OD_Norm,-2,0.159335607902561
BIM-05,OD,OD_Norm,-1,0.1438869165662992
BIM-05,OD,OD_Norm,0,0.32420236796217455
BIM-05,OD,OD_Norm,1,-0.05520558781930179
BIM-05,OD,OD_Norm,2,0.28931718691167246
BIM-05,OD,OD_Norm,3,0.10621197554335636
BIM-05,OD,OD_Norm,4,-0.04962843119933105
BIM-05,OD,OD_Norm,5,0.28926332029278184
BIM-07,OD,pH,-5,-0.6712567637330095
BIM-07,OD,pH,-4,-0.5390980579273998
BIM-07,OD,pH,-3,-0.38595065743997115
BIM-07,OD,pH,-2,-0.5472887481375575
BIM-07,OD,pH,-1,-0.51113904240037
BIM-07,OD,pH,0,-0.0846201857845273
BIM-07,OD,pH,1,-0.027006751588560994
BIM-07,OD,pH,2,0.13043002555257746
BIM-07,OD,pH,3,0.3935530352442101
BIM-07,OD,pH,4,0.5409989967565714
BIM-07,OD,pH,5,0.41789106993411296
BIM-07,OD,pH_Norm,-5,-0.6712567637330094
BIM-07,OD,pH_Norm,-4,-0.5390980579273998
BIM-07,OD,pH_Norm,-3,-0.3859506574399711
BIM-07,OD,pH_Norm,-2,-0.5472887481375575
BIM-07,OD,pH_Norm,-1,-0.5111390424003701
BIM-07,OD,pH_Norm,0,-0.08462018578452728
BIM-07,OD,pH_Norm,1,-0.027006751588560966
BIM-07,OD,pH_Norm,2,0.1304300255525775
BIM-07,OD,pH_Norm,3,0.3935530352442101
BIM-07,OD,pH_Norm,4,0.5409989967565715
