row,column,value,issue
124,EC_Norm,-0.4782608695652174,negative_value_in_non_negative_variable
125,EC_Norm,-0.5652173913043478,negative_value_in_non_negative_variable
126,EC_Norm,-0.6086956521739131,negative_value_in_non_negative_variable
127,EC_Norm,-0.2173913043478261,negative_value_in_non_negative_variable
128,EC_Norm,-0.3478260869565217,negative_value_in_non_negative_variable
129,EC_Norm,-0.391304347826087,negative_value_in_non_negative_variable
130,EC_Norm,-0.4782608695652174,negative_value_in_non_negative_variable
131,EC_Norm,-0.5652173913043478,negative_value_in_non_negative_variable
132,EC_Norm,-0.6521739130434783,negative_value_in_non_negative_variable
133,EC_Norm,-0.5652173913043478,negative_value_in_non_negative_variable
134,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
135,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
141,EC_Norm,-0.04347826086956522,negative_value_in_non_negative_variable
142,EC_Norm,-0.2608695652173913,negative_value_in_non_negative_variable
143,EC_Norm,-0.2608695652173913,negative_value_in_non_negative_variable
144,EC_Norm,-0.3043478260869565,negative_value_in_non_negative_variable
145,EC_Norm,-0.2608695652173913,negative_value_in_non_negative_variable
151,EC_Norm,-1.347826086956522,negative_value_in_non_negative_variable
152,EC_Norm,-1.347826086956522,negative_value_in_non_negative_variable
153,EC_Norm,-1.391304347826087,negative_value_in_non_negative_variable
154,EC_Norm,-1.347826086956522,negative_value_in_non_negative_variable
155,EC_Norm,-1.347826086956522,negative_value_in_non_negative_variable
156,EC_Norm,-1.347826086956522,negative_value_in_non_negative_variable
157,EC_Norm,-1.217391304347826,negative_value_in_non_negative_variable
158,EC_Norm,-1.173913043478261,negative_value_in_non_negative_variable
159,EC_Norm,-1.173913043478261,negative_value_in_non_negative_variable
160,EC_Norm,-1.130434782608696,negative_value_in_non_negative_variable
161,EC_Norm,-1.08695652173913,negative_value_in_non_negative_variable
162,EC_Norm,-1.08695652173913,negative_value_in_non_negative_variable
163,EC_Norm,-1.173913043478261,negative_value_in_non_negative_variable
