BIM,column,q1,q3,iqr,lower_bound,upper_bound,outlier_count
BIM-14,EC_Norm,-0.5434782608695652,0.34782608695652173,0.8913043478260869,-1.8804347826086956,1.684782608695652,0
BIM-14,OD,0.578,0.6675,0.08950000000000002,0.4437499999999999,0.80175,1
BIM-14,OD_Norm,-0.2596101650848835,0.2639540114562811,0.5235641765411646,-1.0449564298966303,1.049300276268028,1
BIM-14,μ (d⁻¹),-0.0395,0.0436,0.08310000000000001,-0.16415000000000002,0.16825,1
BIM-14,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-15,pH,8.09,8.4875,0.39750000000000085,7.493749999999999,9.083750000000002,0
BIM-15,pH_Norm,0.021534769162592778,0.7080639327090897,0.686529163546497,-1.0082589761571528,1.7378576780288353,0
BIM-15,Temperatura (°C),16.125,17.275,1.1499999999999986,14.400000000000002,18.999999999999996,0
BIM-15,Temp_Norm,-0.0718278093653083,0.4113923075977573,0.4832201169630656,-0.7966579848099067,1.1362224830423557,0
BIM-15,EC,2352.5,2525.0,172.5,2093.75,2783.75,0
BIM-15,EC_Norm,-0.20652173913043478,0.5434782608695652,0.75,-1.3315217391304348,1.6684782608695652,0
BIM-15,OD,0.61375,0.78225,0.16849999999999998,0.36100000000000004,1.035,0
BIM-15,OD_Norm,-0.05047698842179263,0.935227634451796,0.9857046228735886,-1.5290339227321756,2.4137845687621793,0
BIM-15,μ (d⁻¹),-0.09145,0.071775,0.163225,-0.3362875,0.3166125,0
BIM-15,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-17,pH,8.9825,9.1675,0.1850000000000005,8.704999999999998,9.445,3
BIM-17,pH_Norm,1.5629870420311445,1.8825037596565586,0.3195167176254141,1.0837119655930234,2.36177883609468,3
BIM-17,Temperatura (°C),15.375,17.175,1.8000000000000007,12.674999999999999,19.875,1
BIM-17,Temp_Norm,1.0131381136272364,1.2380330108301731,0.22489489720293676,0.6757957678228312,1.5753753566345783,3
BIM-17,EC,2090.0,2150.0,60.0,2000.0,2240.0,3
BIM-17,EC_Norm,-1.3478260869565217,-1.0869565217391304,0.26086956521739135,-1.7391304347826089,-0.6956521739130433,3
BIM-17,OD,0.585,0.8605,0.2755000000000001,0.17174999999999985,1.2737500000000002,0
BIM-17,OD_Norm,-0.21866101161239004,1.3929806714835955,1.6116416830959857,-2.6361235362563686,3.810443196127574,0
BIM-17,μ (d⁻¹),-0.026375000000000003,0.046175,0.07255,-0.13520000000000001,0.155,3
BIM-17,ciclo_1,1.0,1.0,0.0,1.0,1.0,0
BIM-20,pH,7.975,8.67,0.6950000000000003,6.932499999999999,9.7125,0
BIM-20,pH_Norm,-0.17708373098293523,1.0232628568530795,1.2003465878360147,-1.9776036127369572,2.8237827386071013,0
BIM-20,Temperatura (°C),15.8,17.45,1.6499999999999986,13.325000000000003,19.924999999999997,1
BIM-20,Temp_Norm,-0.21162734005902584,0.6332480845682218,0.8448754246272476,-1.4789404769998973,1.9005612215090932,0
BIM-20,EC,2325.0,2400.0,75.0,2212.5,2512.5,0
BIM-20,EC_Norm,-0.32608695652173914,0.0,0.32608695652173914,-0.8152173913043479,0.4891304347826087,0
BIM-20,OD,0.621,0.736,0.11499999999999999,0.4485,0.9085,0
BIM-20,OD_Norm,-0.008065365182424549,0.664670727579965,0.6727360927623895,-1.017169504326009,1.6737748667235495,0
BIM-20,μ (d⁻¹),-0.035425,0.069875,0.1053,-0.19337500000000002,0.227825,3
T1,pH,8.25,8.55,0.3000000000000007,7.799999999999999,9.000000000000002,0
T1,Temperatura (°C),19.799999999999997,20.950000000000003,1.1500000000000057,18.07499999999999,22.67500000000001,0
T1,EC,2080.0,2160.0,80.0,1960.0,2280.0,0
T1,OD,0.48,0.785,0.30500000000000005,0.02249999999999991,1.2425000000000002,0
T2,pH,7.265000000000001,7.375,0.10999999999999943,7.100000000000001,7.539999999999999,0
T2,Temperatura (°C),20.049999999999997,20.775,0.7250000000000014,18.962499999999995,21.8625,0
T2,EC,1231.5,1293.5,62.0,1138.5,1386.5,0
T2,OD,0.509,0.624,0.11499999999999999,0.3365,0.7965,0
T3,pH,7.65,8.82,1.17,5.8950000000000005,10.575,0
T3,Temperatura (°C),19.375,20.3,0.9250000000000007,17.987499999999997,21.6875,0
T3,EC,1109.0,1373.0,264.0,713.0,1769.0,0
T3,OD,0.452,0.794,0.342,-0.061,1.307,0
