BIM,variable,count,mean,median,mode,std,variance,min,p05,p25,p50,p75,p95,max,skewness,kurtosis,coefficient_variation
BIM-12,OD,15,0.6398,0.655,0.66,0.039079040783665996,0.0015271714285714302,0.552,0.5709,0.6285000000000001,0.655,0.6635,0.6773,0.685,-1.2262912773259904,0.5170044320383722,0.06108008875221318
BIM-12,OD_Norm,15,0.10191236128655756,0.190830523112543,0.2200799184500382,0.228607662658309,0.05226146342609521,-0.4117070208398581,-0.30114430646412654,0.03580872782381829,0.190830523112543,0.2405544951862849,0.32128282631777166,0.3663268951375144,-1.2262912773259897,0.5170044320383722,2.2431789409285603
BIM-12,Delta_pH_1d,15,-0.12599999999999997,-0.1699999999999999,-0.2599999999999998,0.16889557213175924,0.028525714285714283,-0.4400000000000004,-0.33500000000000074,-0.24499999999999966,-0.1699999999999999,0.004999999999999893,0.11699999999999972,0.1799999999999997,0.07155234508413585,-0.6056133971158557,-1.3404410486647562
BIM-13,pH,23,8.25217391304348,8.37,8.15,0.4442353647432153,0.19734505928853752,7.15,7.2749999999999995,8.085,8.37,8.555,8.74,8.78,-1.2272952713233474,1.0903744425270476,0.05383252575918836
BIM-13,pH_Norm,23,0.30162815500108664,0.5051276390821365,0.1251618127167812,0.7672466248425985,0.5886673833323591,-1.601955579853025,-1.3860659057817997,0.012899182199743162,0.5051276390821365,0.824644356707553,1.1441610743329658,1.213245770035757,-1.227295271323335,1.0903744425270254,2.5436837116211333
BIM-13,Temperatura (°C),23,15.978260869565217,16.3,17.1,1.5888693869710486,2.5245059288537557,12.7,12.75,15.35,16.3,17.1,17.689999999999998,17.9,-0.9738324019159094,-0.05522932020048943,0.09943944462675951
BIM-13,Temp_Norm,23,0.12531859875853452,0.2685536566715672,0.001111076214022485,0.540033873988294,0.29163658505480466,-1.214537016774823,-1.0625810051512186,-0.07790604983025295,0.2685536566715672,0.49344855387450537,0.7183434510774409,0.766969374796994,-1.227295271323335,1.0903744425270236,4.309287522667232
BIM-13,EC,23,2575.217391304348,2530.0,2360.0,159.54109089446038,25453.359683794468,2360.0,2362.0,2485.0,2530.0,2635.0,2849.0,2860.0,0.6438122011167812,-0.5794276062392014,0.061952474937913025
BIM-13,EC_Norm,23,0.7618147448015126,0.5652173913043478,-0.1739130434782609,0.6936569169324365,0.48115991840821304,-0.1739130434782609,-0.16521739130434784,0.3695652173913043,0.5652173913043478,1.0217391304347827,1.9521739130434785,2.0,0.6438122011167832,-0.5794276062391992,0.9105322805391036
BIM-13,OD,23,0.5909565217391304,0.597,0.651,0.11251403074561192,0.012659407114624505,0.4,0.41719999999999996,0.512,0.597,0.6625000000000001,0.7384999999999999,0.845,0.276924154286874,-0.24296621220027603,0.1903930773358648
BIM-13,OD_Norm,23,-0.18381607977554784,-0.1484624628024017,0.1674310068425468,0.6581934732586987,0.43321864824034934,-1.300888639099712,-1.200270719138729,-0.6457021835398199,-0.1484624628024017,0.23470461611878585,0.6792954252487127,1.302307545937361,0.27692415428687317,-0.2429662122002738,-3.5807176067643183
BIM-13,Delta_pH_1d,23,-0.058260869565217345,0.0,-0.02999999999999936,0.3556000329010241,0.12645138339920942,-0.8699999999999992,-0.6700000000000006,-0.1299999999999999,0.0,0.12499999999999911,0.3479999999999996,0.6199999999999992,-0.6484604940272386,0.33772570292657056,-6.103582654271314
BIM-14,pH,18,8.3825,8.427499999999998,8.3,0.1846797705409523,0.034106617647058794,7.9,8.087,8.3,8.427499999999998,8.5175,8.6145,8.64,-1.0013143072197341,1.3547748642737183,0.02203158610688366
BIM-14,pH_Norm,18,-0.28071077453712323,0.5396699869335334,0.3842294216022527,3.426465153807455,11.740663450256747,-13.95084493672713,-2.3532516456208876,0.3194625193808841,0.5396699869335334,0.7598774544861835,0.9274078415654545,0.9714493350759864,-4.181649508974202,17.631290633735237,-12.206389866785518
BIM-14,Temperatura (°C),18,16.72222222222222,16.6,15.4,0.9321420969406374,0.8688888888888887,15.4,15.4,16.1,16.6,17.2,18.259999999999998,18.6,0.3399862819641541,-0.49886672717764924,0.05574271676056968
BIM-14,Temp_Norm,18,-0.28456622563835654,0.29286661853134466,0.1834582901623498,2.411750265406706,5.8165393426893175,-9.90642088164507,-1.7433439372249704,0.13787148667526747,0.29286661853134466,0.44786175038742243,0.5657796154073403,0.5967786417785572,-4.181649508974201,17.631290633735237,-8.47518098817426
